RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597662224025	 	3.3.1
REQUEST	56		requestAggregation_fintonic_products	1597662237698	1597662237829	OK	 
REQUEST	54		requestAggregation_fintonic_products	1597662237616	1597662237845	OK	 
USER	AggRestSimulationFintonicProducts	60	START	1597662237856	1597662237856
REQUEST	58		requestAggregation_fintonic_products	1597662237775	1597662237865	OK	 
USER	AggRestSimulationFintonicProducts	61	START	1597662237898	1597662237898
REQUEST	57		requestAggregation_fintonic_products	1597662237740	1597662237904	OK	 
USER	AggRestSimulationFintonicProducts	62	START	1597662237934	1597662237934
USER	AggRestSimulationFintonicProducts	63	START	1597662237975	1597662237975
REQUEST	59		requestAggregation_fintonic_products	1597662237816	1597662237986	OK	 
REQUEST	60		requestAggregation_fintonic_products	1597662237857	1597662237998	OK	 
REQUEST	61		requestAggregation_fintonic_products	1597662237899	1597662237998	OK	 
USER	AggRestSimulationFintonicProducts	64	START	1597662238016	1597662238016
REQUEST	62		requestAggregation_fintonic_products	1597662237935	1597662238049	OK	 
USER	AggRestSimulationFintonicProducts	65	START	1597662238057	1597662238057
USER	AggRestSimulationFintonicProducts	66	START	1597662238098	1597662238098
REQUEST	63		requestAggregation_fintonic_products	1597662237978	1597662238132	OK	 
USER	AggRestSimulationFintonicProducts	67	START	1597662238133	1597662238133
REQUEST	65		requestAggregation_fintonic_products	1597662238058	1597662238172	OK	 
USER	AggRestSimulationFintonicProducts	68	START	1597662238175	1597662238175
REQUEST	64		requestAggregation_fintonic_products	1597662238021	1597662238201	OK	 
USER	AggRestSimulationFintonicProducts	69	START	1597662238216	1597662238216
USER	AggRestSimulationFintonicProducts	70	START	1597662238257	1597662238257
REQUEST	66		requestAggregation_fintonic_products	1597662238099	1597662238261	OK	 
REQUEST	67		requestAggregation_fintonic_products	1597662238134	1597662238274	OK	 
USER	AggRestSimulationFintonicProducts	71	START	1597662238298	1597662238298
USER	AggRestSimulationFintonicProducts	72	START	1597662238334	1597662238334
REQUEST	70		requestAggregation_fintonic_products	1597662238258	1597662238356	OK	 
USER	AggRestSimulationFintonicProducts	73	START	1597662238376	1597662238376
REQUEST	68		requestAggregation_fintonic_products	1597662238176	1597662238391	OK	 
USER	AggRestSimulationFintonicProducts	74	START	1597662238417	1597662238417
USER	AggRestSimulationFintonicProducts	75	START	1597662238458	1597662238458
REQUEST	69		requestAggregation_fintonic_products	1597662238217	1597662238489	OK	 
REQUEST	72		requestAggregation_fintonic_products	1597662238336	1597662238490	OK	 
USER	AggRestSimulationFintonicProducts	76	START	1597662238493	1597662238493
REQUEST	71		requestAggregation_fintonic_products	1597662238299	1597662238522	OK	 
USER	AggRestSimulationFintonicProducts	77	START	1597662238534	1597662238534
REQUEST	75		requestAggregation_fintonic_products	1597662238458	1597662238566	OK	 
USER	AggRestSimulationFintonicProducts	78	START	1597662238576	1597662238576
REQUEST	73		requestAggregation_fintonic_products	1597662238377	1597662238611	OK	 
REQUEST	74		requestAggregation_fintonic_products	1597662238417	1597662238611	OK	 
USER	AggRestSimulationFintonicProducts	79	START	1597662238617	1597662238617
REQUEST	77		requestAggregation_fintonic_products	1597662238536	1597662238632	OK	 
REQUEST	76		requestAggregation_fintonic_products	1597662238494	1597662238649	OK	 
USER	AggRestSimulationFintonicProducts	80	START	1597662238658	1597662238658
USER	AggRestSimulationFintonicProducts	81	START	1597662238694	1597662238694
USER	AggRestSimulationFintonicProducts	82	START	1597662238736	1597662238736
USER	AggRestSimulationFintonicProducts	83	START	1597662238776	1597662238776
USER	AggRestSimulationFintonicProducts	84	START	1597662238818	1597662238818
REQUEST	80		requestAggregation_fintonic_products	1597662238659	1597662238829	OK	 
REQUEST	79		requestAggregation_fintonic_products	1597662238618	1597662238829	OK	 
REQUEST	78		requestAggregation_fintonic_products	1597662238578	1597662238829	OK	 
USER	AggRestSimulationFintonicProducts	85	START	1597662238854	1597662238854
REQUEST	82		requestAggregation_fintonic_products	1597662238738	1597662238868	OK	 
USER	AggRestSimulationFintonicProducts	86	START	1597662238895	1597662238895
REQUEST	81		requestAggregation_fintonic_products	1597662238696	1597662238931	OK	 
USER	AggRestSimulationFintonicProducts	87	START	1597662238936	1597662238936
USER	AggRestSimulationFintonicProducts	88	START	1597662238977	1597662238977
REQUEST	83		requestAggregation_fintonic_products	1597662238777	1597662238979	OK	 
REQUEST	85		requestAggregation_fintonic_products	1597662238855	1597662238983	OK	 
USER	AggRestSimulationFintonicProducts	89	START	1597662239018	1597662239018
USER	AggRestSimulationFintonicProducts	90	START	1597662239053	1597662239053
REQUEST	87		requestAggregation_fintonic_products	1597662238937	1597662239054	OK	 
REQUEST	84		requestAggregation_fintonic_products	1597662238819	1597662239063	OK	 
USER	AggRestSimulationFintonicProducts	91	START	1597662239094	1597662239094
REQUEST	86		requestAggregation_fintonic_products	1597662238896	1597662239117	OK	 
USER	AggRestSimulationFintonicProducts	92	START	1597662239136	1597662239136
REQUEST	90		requestAggregation_fintonic_products	1597662239054	1597662239174	OK	 
USER	AggRestSimulationFintonicProducts	93	START	1597662239177	1597662239177
USER	AggRestSimulationFintonicProducts	94	START	1597662239213	1597662239213
REQUEST	88		requestAggregation_fintonic_products	1597662238978	1597662239219	OK	 
REQUEST	91		requestAggregation_fintonic_products	1597662239095	1597662239238	OK	 
REQUEST	92		requestAggregation_fintonic_products	1597662239137	1597662239247	OK	 
USER	AggRestSimulationFintonicProducts	95	START	1597662239254	1597662239254
REQUEST	89		requestAggregation_fintonic_products	1597662239019	1597662239268	OK	 
USER	AggRestSimulationFintonicProducts	96	START	1597662239296	1597662239296
USER	AggRestSimulationFintonicProducts	97	START	1597662239337	1597662239337
REQUEST	93		requestAggregation_fintonic_products	1597662239178	1597662239356	OK	 
REQUEST	95		requestAggregation_fintonic_products	1597662239255	1597662239356	OK	 
USER	AggRestSimulationFintonicProducts	98	START	1597662239378	1597662239378
USER	AggRestSimulationFintonicProducts	99	START	1597662239414	1597662239414
REQUEST	96		requestAggregation_fintonic_products	1597662239297	1597662239431	OK	 
REQUEST	94		requestAggregation_fintonic_products	1597662239214	1597662239444	OK	 
USER	AggRestSimulationFintonicProducts	100	START	1597662239455	1597662239455
REQUEST	97		requestAggregation_fintonic_products	1597662239338	1597662239461	OK	 
USER	AggRestSimulationFintonicProducts	101	START	1597662239496	1597662239496
USER	AggRestSimulationFintonicProducts	102	START	1597662239537	1597662239537
REQUEST	100		requestAggregation_fintonic_products	1597662239456	1597662239559	OK	 
USER	AggRestSimulationFintonicProducts	103	START	1597662239577	1597662239577
REQUEST	98		requestAggregation_fintonic_products	1597662239379	1597662239583	OK	 
USER	AggRestSimulationFintonicProducts	104	START	1597662239613	1597662239613
REQUEST	101		requestAggregation_fintonic_products	1597662239497	1597662239620	OK	 
REQUEST	99		requestAggregation_fintonic_products	1597662239415	1597662239626	OK	 
REQUEST	102		requestAggregation_fintonic_products	1597662239537	1597662239643	OK	 
USER	AggRestSimulationFintonicProducts	105	START	1597662239655	1597662239655
USER	AggRestSimulationFintonicProducts	106	START	1597662239696	1597662239696
USER	AggRestSimulationFintonicProducts	107	START	1597662239737	1597662239737
REQUEST	103		requestAggregation_fintonic_products	1597662239578	1597662239755	OK	 
USER	AggRestSimulationFintonicProducts	108	START	1597662239777	1597662239777
REQUEST	104		requestAggregation_fintonic_products	1597662239614	1597662239792	OK	 
REQUEST	105		requestAggregation_fintonic_products	1597662239656	1597662239797	OK	 
USER	AggRestSimulationFintonicProducts	109	START	1597662239818	1597662239818
REQUEST	106		requestAggregation_fintonic_products	1597662239697	1597662239833	OK	 
USER	AggRestSimulationFintonicProducts	110	START	1597662239853	1597662239853
REQUEST	107		requestAggregation_fintonic_products	1597662239739	1597662239888	OK	 
USER	AggRestSimulationFintonicProducts	111	START	1597662239894	1597662239894
USER	AggRestSimulationFintonicProducts	112	START	1597662239935	1597662239935
REQUEST	110		requestAggregation_fintonic_products	1597662239854	1597662239970	OK	 
USER	AggRestSimulationFintonicProducts	113	START	1597662239977	1597662239977
REQUEST	108		requestAggregation_fintonic_products	1597662239778	1597662239977	OK	 
REQUEST	109		requestAggregation_fintonic_products	1597662239819	1597662240011	OK	 
USER	AggRestSimulationFintonicProducts	114	START	1597662240018	1597662240018
REQUEST	111		requestAggregation_fintonic_products	1597662239895	1597662240048	OK	 
USER	AggRestSimulationFintonicProducts	115	START	1597662240054	1597662240054
REQUEST	112		requestAggregation_fintonic_products	1597662239936	1597662240072	OK	 
USER	AggRestSimulationFintonicProducts	116	START	1597662240095	1597662240095
USER	AggRestSimulationFintonicProducts	117	START	1597662240136	1597662240136
USER	AggRestSimulationFintonicProducts	118	START	1597662240177	1597662240177
REQUEST	114		requestAggregation_fintonic_products	1597662240020	1597662240186	OK	 
REQUEST	115		requestAggregation_fintonic_products	1597662240056	1597662240187	OK	 
REQUEST	113		requestAggregation_fintonic_products	1597662239978	1597662240187	OK	 
USER	AggRestSimulationFintonicProducts	119	START	1597662240214	1597662240214
REQUEST	116		requestAggregation_fintonic_products	1597662240097	1597662240250	OK	 
USER	AggRestSimulationFintonicProducts	120	START	1597662240255	1597662240255
USER	AggRestSimulationFintonicProducts	121	START	1597662240296	1597662240296
REQUEST	117		requestAggregation_fintonic_products	1597662240137	1597662240297	OK	 
USER	AggRestSimulationFintonicProducts	122	START	1597662240337	1597662240337
REQUEST	118		requestAggregation_fintonic_products	1597662240178	1597662240351	OK	 
REQUEST	119		requestAggregation_fintonic_products	1597662240215	1597662240351	OK	 
USER	AggRestSimulationFintonicProducts	123	START	1597662240374	1597662240374
REQUEST	120		requestAggregation_fintonic_products	1597662240256	1597662240387	OK	 
REQUEST	121		requestAggregation_fintonic_products	1597662240297	1597662240395	OK	 
USER	AggRestSimulationFintonicProducts	124	START	1597662240414	1597662240414
USER	AggRestSimulationFintonicProducts	125	START	1597662240455	1597662240455
USER	AggRestSimulationFintonicProducts	126	START	1597662240496	1597662240496
REQUEST	122		requestAggregation_fintonic_products	1597662240339	1597662240511	OK	 
REQUEST	124		requestAggregation_fintonic_products	1597662240415	1597662240527	OK	 
USER	AggRestSimulationFintonicProducts	127	START	1597662240537	1597662240537
USER	AggRestSimulationFintonicProducts	128	START	1597662240578	1597662240578
REQUEST	125		requestAggregation_fintonic_products	1597662240456	1597662240579	OK	 
REQUEST	123		requestAggregation_fintonic_products	1597662240375	1597662240582	OK	 
