RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597138323490	 	3.0.3
REQUEST	88		login	1597138326813	1597138326844	OK	 
USER	AggRestSimulation	90	START	1597138326863	1597138326863
REQUEST	89		login	1597138326833	1597138326865	OK	 
USER	AggRestSimulation	91	START	1597138326884	1597138326884
REQUEST	90		login	1597138326864	1597138326896	OK	 
USER	AggRestSimulation	92	START	1597138326902	1597138326902
REQUEST	91		login	1597138326885	1597138326915	OK	 
USER	AggRestSimulation	93	START	1597138326923	1597138326923
REQUEST	92		login	1597138326903	1597138326938	OK	 
USER	AggRestSimulation	94	START	1597138326943	1597138326943
REQUEST	93		login	1597138326925	1597138326961	OK	 
USER	AggRestSimulation	95	START	1597138326964	1597138326964
REQUEST	94		login	1597138326944	1597138326975	OK	 
USER	AggRestSimulation	96	START	1597138326984	1597138326984
REQUEST	95		login	1597138326965	1597138326999	OK	 
USER	AggRestSimulation	97	START	1597138327005	1597138327005
REQUEST	96		login	1597138326986	1597138327018	OK	 
USER	AggRestSimulation	98	START	1597138327026	1597138327026
REQUEST	97		login	1597138327006	1597138327037	OK	 
USER	AggRestSimulation	99	START	1597138327046	1597138327046
REQUEST	98		login	1597138327026	1597138327058	OK	 
USER	AggRestSimulation	100	START	1597138327066	1597138327066
REQUEST	99		login	1597138327047	1597138327075	OK	 
USER	AggRestSimulation	101	START	1597138327086	1597138327086
USER	AggRestSimulation	102	START	1597138327086	1597138327086
REQUEST	100		login	1597138327067	1597138327103	OK	 
USER	AggRestSimulation	103	START	1597138327106	1597138327106
REQUEST	101		login	1597138327087	1597138327117	OK	 
REQUEST	102		login	1597138327087	1597138327117	OK	 
USER	AggRestSimulation	104	START	1597138327127	1597138327127
REQUEST	103		login	1597138327108	1597138327140	OK	 
USER	AggRestSimulation	105	START	1597138327142	1597138327142
REQUEST	104		login	1597138327129	1597138327161	OK	 
USER	AggRestSimulation	106	START	1597138327162	1597138327162
REQUEST	105		login	1597138327143	1597138327175	OK	 
USER	AggRestSimulation	107	START	1597138327183	1597138327183
REQUEST	106		login	1597138327163	1597138327196	OK	 
USER	AggRestSimulation	108	START	1597138327204	1597138327204
REQUEST	107		login	1597138327183	1597138327215	OK	 
USER	AggRestSimulation	109	START	1597138327224	1597138327224
REQUEST	108		login	1597138327204	1597138327235	OK	 
USER	AggRestSimulation	110	START	1597138327245	1597138327245
