RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597139289530	 	3.0.3
USER	AggRestSimulation	54	START	1597139292314	1597139292314
REQUEST	44		requestAggregation	1597139292159	1597139292319	OK	 
REQUEST	52		login	1597139292274	1597139292321	OK	 
REQUEST	41		requestAggregation	1597139292105	1597139292332	OK	 
USER	AggRestSimulation	55	START	1597139292335	1597139292335
REQUEST	53		login	1597139292295	1597139292338	OK	 
USER	AggRestSimulation	56	START	1597139292355	1597139292355
REQUEST	54		login	1597139292315	1597139292359	OK	 
REQUEST	40		requestAggregation	1597139292081	1597139292368	OK	 
USER	AggRestSimulation	57	START	1597139292370	1597139292370
REQUEST	55		login	1597139292337	1597139292380	OK	 
REQUEST	47		requestAggregation	1597139292216	1597139292385	OK	 
REQUEST	43		requestAggregation	1597139292142	1597139292393	OK	 
REQUEST	56		login	1597139292356	1597139292398	OK	 
USER	AggRestSimulation	58	START	1597139292403	1597139292403
REQUEST	49		requestAggregation	1597139292260	1597139292407	OK	 
REQUEST	57		login	1597139292371	1597139292410	OK	 
USER	AggRestSimulation	59	START	1597139292413	1597139292413
REQUEST	45		requestAggregation	1597139292184	1597139292414	OK	 
REQUEST	46		requestAggregation	1597139292203	1597139292424	OK	 
USER	AggRestSimulation	60	START	1597139292434	1597139292434
REQUEST	58		login	1597139292404	1597139292445	OK	 
USER	AggRestSimulation	61	START	1597139292454	1597139292454
REQUEST	59		login	1597139292414	1597139292458	OK	 
REQUEST	48		requestAggregation	1597139292231	1597139292458	OK	 
USER	AggRestSimulation	62	START	1597139292475	1597139292475
REQUEST	60		login	1597139292435	1597139292478	OK	 
REQUEST	50		requestAggregation	1597139292277	1597139292478	OK	 
USER	AggRestSimulation	63	START	1597139292490	1597139292490
REQUEST	61		login	1597139292456	1597139292496	OK	 
USER	AggRestSimulation	64	START	1597139292510	1597139292510
REQUEST	62		login	1597139292476	1597139292515	OK	 
REQUEST	52		requestAggregation	1597139292322	1597139292523	OK	 
USER	AggRestSimulation	65	START	1597139292531	1597139292531
REQUEST	54		requestAggregation	1597139292361	1597139292532	OK	 
REQUEST	63		login	1597139292491	1597139292539	OK	 
REQUEST	51		requestAggregation	1597139292298	1597139292539	OK	 
USER	AggRestSimulation	66	START	1597139292552	1597139292552
REQUEST	64		login	1597139292511	1597139292555	OK	 
USER	AggRestSimulation	67	START	1597139292572	1597139292572
REQUEST	65		login	1597139292532	1597139292578	OK	 
USER	AggRestSimulation	68	START	1597139292593	1597139292593
REQUEST	57		requestAggregation	1597139292411	1597139292611	OK	 
REQUEST	66		login	1597139292554	1597139292611	OK	 
USER	AggRestSimulation	69	START	1597139292614	1597139292614
REQUEST	67		login	1597139292574	1597139292616	OK	 
REQUEST	55		requestAggregation	1597139292381	1597139292616	OK	 
USER	AggRestSimulation	70	START	1597139292634	1597139292634
REQUEST	59		requestAggregation	1597139292460	1597139292642	OK	 
REQUEST	68		login	1597139292594	1597139292644	OK	 
USER	AggRestSimulation	71	START	1597139292655	1597139292655
REQUEST	53		requestAggregation	1597139292339	1597139292647	OK	 
REQUEST	69		login	1597139292615	1597139292663	OK	 
USER	AggRestSimulation	72	START	1597139292670	1597139292670
REQUEST	56		requestAggregation	1597139292399	1597139292673	OK	 
REQUEST	70		login	1597139292636	1597139292676	OK	 
USER	AggRestSimulation	73	START	1597139292691	1597139292691
REQUEST	71		login	1597139292657	1597139292700	OK	 
USER	AggRestSimulation	74	START	1597139292712	1597139292712
REQUEST	72		login	1597139292671	1597139292715	OK	 
REQUEST	62		requestAggregation	1597139292516	1597139292720	OK	 
USER	AggRestSimulation	75	START	1597139292733	1597139292733
REQUEST	58		requestAggregation	1597139292446	1597139292733	OK	 
REQUEST	73		login	1597139292692	1597139292735	OK	 
USER	AggRestSimulation	76	START	1597139292753	1597139292753
REQUEST	74		login	1597139292713	1597139292754	OK	 
REQUEST	60		requestAggregation	1597139292480	1597139292767	OK	 
REQUEST	61		requestAggregation	1597139292498	1597139292770	OK	 
USER	AggRestSimulation	77	START	1597139292774	1597139292774
REQUEST	64		requestAggregation	1597139292557	1597139292777	OK	 
REQUEST	75		login	1597139292733	1597139292777	OK	 
USER	AggRestSimulation	78	START	1597139292794	1597139292794
REQUEST	76		login	1597139292755	1597139292797	OK	 
USER	AggRestSimulation	79	START	1597139292815	1597139292815
REQUEST	77		login	1597139292775	1597139292818	OK	 
REQUEST	67		requestAggregation	1597139292617	1597139292824	OK	 
USER	AggRestSimulation	80	START	1597139292830	1597139292830
REQUEST	63		requestAggregation	1597139292540	1597139292835	OK	 
REQUEST	78		login	1597139292795	1597139292839	OK	 
USER	AggRestSimulation	81	START	1597139292851	1597139292851
REQUEST	65		requestAggregation	1597139292580	1597139292855	OK	 
REQUEST	79		login	1597139292816	1597139292862	OK	 
REQUEST	69		requestAggregation	1597139292665	1597139292862	OK	 
USER	AggRestSimulation	82	START	1597139292872	1597139292872
REQUEST	80		login	1597139292831	1597139292882	OK	 
USER	AggRestSimulation	83	START	1597139292892	1597139292892
REQUEST	81		login	1597139292852	1597139292893	OK	 
REQUEST	66		requestAggregation	1597139292612	1597139292895	OK	 
REQUEST	72		requestAggregation	1597139292716	1597139292899	OK	 
USER	AggRestSimulation	84	START	1597139292913	1597139292913
USER	AggRestSimulation	85	START	1597139292933	1597139292933
REQUEST	83		login	1597139292894	1597139292939	OK	 
REQUEST	82		login	1597139292872	1597139292945	OK	 
USER	AggRestSimulation	86	START	1597139292954	1597139292954
REQUEST	84		login	1597139292914	1597139292958	OK	 
REQUEST	74		requestAggregation	1597139292756	1597139292960	OK	 
USER	AggRestSimulation	87	START	1597139292974	1597139292974
REQUEST	71		requestAggregation	1597139292701	1597139292977	OK	 
REQUEST	85		login	1597139292934	1597139292982	OK	 
