RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597308991735	 	3.3.1
REQUEST	128		requestAggregation_all_products	1597309011754	1597309011919	OK	 
REQUEST	129		requestAggregation_all_products	1597309011820	1597309011930	OK	 
USER	AggRestSimulationAllProducts	131	START	1597309011953	1597309011953
USER	AggRestSimulationAllProducts	132	START	1597309012019	1597309012019
REQUEST	130		requestAggregation_all_products	1597309011881	1597309012055	OK	 
USER	AggRestSimulationAllProducts	133	START	1597309012081	1597309012081
REQUEST	131		requestAggregation_all_products	1597309011955	1597309012095	OK	 
USER	AggRestSimulationAllProducts	134	START	1597309012152	1597309012152
REQUEST	132		requestAggregation_all_products	1597309012021	1597309012162	OK	 
USER	AggRestSimulationAllProducts	135	START	1597309012220	1597309012220
REQUEST	133		requestAggregation_all_products	1597309012082	1597309012228	OK	 
REQUEST	134		requestAggregation_all_products	1597309012153	1597309012279	OK	 
USER	AggRestSimulationAllProducts	136	START	1597309012281	1597309012281
USER	AggRestSimulationAllProducts	137	START	1597309012352	1597309012352
REQUEST	135		requestAggregation_all_products	1597309012220	1597309012405	OK	 
REQUEST	136		requestAggregation_all_products	1597309012282	1597309012408	OK	 
USER	AggRestSimulationAllProducts	138	START	1597309012428	1597309012428
REQUEST	137		requestAggregation_all_products	1597309012353	1597309012457	OK	 
USER	AggRestSimulationAllProducts	139	START	1597309012500	1597309012500
USER	AggRestSimulationAllProducts	140	START	1597309012562	1597309012562
REQUEST	138		requestAggregation_all_products	1597309012429	1597309012582	OK	 
REQUEST	139		requestAggregation_all_products	1597309012501	1597309012622	OK	 
USER	AggRestSimulationAllProducts	141	START	1597309012633	1597309012633
USER	AggRestSimulationAllProducts	142	START	1597309012699	1597309012699
REQUEST	140		requestAggregation_all_products	1597309012563	1597309012701	OK	 
USER	AggRestSimulationAllProducts	143	START	1597309012761	1597309012761
REQUEST	141		requestAggregation_all_products	1597309012634	1597309012760	OK	 
REQUEST	142		requestAggregation_all_products	1597309012700	1597309012802	OK	 
USER	AggRestSimulationAllProducts	144	START	1597309012832	1597309012832
REQUEST	143		requestAggregation_all_products	1597309012761	1597309012896	OK	 
USER	AggRestSimulationAllProducts	145	START	1597309012898	1597309012898
REQUEST	144		requestAggregation_all_products	1597309012833	1597309012942	OK	 
USER	AggRestSimulationAllProducts	146	START	1597309012960	1597309012960
USER	AggRestSimulationAllProducts	147	START	1597309013031	1597309013031
REQUEST	145		requestAggregation_all_products	1597309012899	1597309013049	OK	 
REQUEST	146		requestAggregation_all_products	1597309012960	1597309013079	OK	 
USER	AggRestSimulationAllProducts	148	START	1597309013103	1597309013103
REQUEST	147		requestAggregation_all_products	1597309013032	1597309013152	OK	 
USER	AggRestSimulationAllProducts	149	START	1597309013159	1597309013159
USER	AggRestSimulationAllProducts	150	START	1597309013231	1597309013231
REQUEST	148		requestAggregation_all_products	1597309013104	1597309013237	OK	 
REQUEST	149		requestAggregation_all_products	1597309013160	1597309013280	OK	 
USER	AggRestSimulationAllProducts	151	START	1597309013302	1597309013302
USER	AggRestSimulationAllProducts	152	START	1597309013364	1597309013364
REQUEST	150		requestAggregation_all_products	1597309013232	1597309013369	OK	 
REQUEST	151		requestAggregation_all_products	1597309013303	1597309013423	OK	 
USER	AggRestSimulationAllProducts	153	START	1597309013430	1597309013430
REQUEST	152		requestAggregation_all_products	1597309013365	1597309013475	OK	 
USER	AggRestSimulationAllProducts	154	START	1597309013502	1597309013502
REQUEST	153		requestAggregation_all_products	1597309013431	1597309013552	OK	 
USER	AggRestSimulationAllProducts	155	START	1597309013574	1597309013574
REQUEST	154		requestAggregation_all_products	1597309013503	1597309013607	OK	 
USER	AggRestSimulationAllProducts	156	START	1597309013629	1597309013629
REQUEST	155		requestAggregation_all_products	1597309013575	1597309013687	OK	 
REQUEST	2		aggregationStatus	1597309013671	1597309013698	OK	 
USER	AggRestSimulationAllProducts	157	START	1597309013701	1597309013701
REQUEST	156		requestAggregation_all_products	1597309013630	1597309013739	OK	 
USER	AggRestSimulationAllProducts	158	START	1597309013772	1597309013772
REQUEST	3		aggregationStatus	1597309013783	1597309013810	OK	 
REQUEST	157		requestAggregation_all_products	1597309013702	1597309013823	OK	 
USER	AggRestSimulationAllProducts	159	START	1597309013829	1597309013829
REQUEST	158		requestAggregation_all_products	1597309013773	1597309013889	OK	 
REQUEST	6		aggregationStatus	1597309013870	1597309013893	OK	 
USER	AggRestSimulationAllProducts	160	START	1597309013900	1597309013900
REQUEST	4		aggregationStatus	1597309013921	1597309013949	OK	 
REQUEST	5		aggregationStatus	1597309013921	1597309013961	OK	 
REQUEST	159		requestAggregation_all_products	1597309013830	1597309013961	OK	 
USER	AggRestSimulationAllProducts	161	START	1597309013973	1597309013973
USER	AggRestSimulationAllProducts	162	START	1597309014030	1597309014030
REQUEST	160		requestAggregation_all_products	1597309013901	1597309014043	OK	 
REQUEST	7		aggregationStatus	1597309014031	1597309014059	OK	 
REQUEST	3		aggregationResult	1597309013812	1597309014032	OK	 
REQUEST	161		requestAggregation_all_products	1597309013973	1597309014085	OK	 
USER	AggRestSimulationAllProducts	163	START	1597309014099	1597309014099
REQUEST	6		aggregationResult	1597309013894	1597309014109	OK	 
REQUEST	8		aggregationStatus	1597309014099	1597309014131	OK	 
REQUEST	162		requestAggregation_all_products	1597309014032	1597309014157	OK	 
REQUEST	9		aggregationStatus	1597309014133	1597309014160	OK	 
USER	AggRestSimulationAllProducts	164	START	1597309014170	1597309014170
USER	AggRestSimulationAllProducts	165	START	1597309014233	1597309014233
REQUEST	4		aggregationResult	1597309013951	1597309014211	OK	 
REQUEST	11		aggregationStatus	1597309014202	1597309014242	OK	 
REQUEST	6		deleteAggregation	1597309014144	1597309014253	OK	 
USER	AggRestSimulationAllProducts	6	END	1597309003634	1597309014255
REQUEST	163		requestAggregation_all_products	1597309014100	1597309014260	OK	 
REQUEST	5		aggregationResult	1597309013962	1597309014261	OK	 
REQUEST	10		aggregationStatus	1597309014249	1597309014291	OK	 
USER	AggRestSimulationAllProducts	166	START	1597309014299	1597309014299
REQUEST	164		requestAggregation_all_products	1597309014171	1597309014325	OK	 
REQUEST	12		aggregationStatus	1597309014300	1597309014331	OK	 
REQUEST	4		deleteAggregation	1597309014238	1597309014340	OK	 
USER	AggRestSimulationAllProducts	4	END	1597309003500	1597309014341
REQUEST	13		aggregationStatus	1597309014331	1597309014360	OK	 
USER	AggRestSimulationAllProducts	167	START	1597309014376	1597309014376
REQUEST	5		deleteAggregation	1597309014282	1597309014382	OK	 
USER	AggRestSimulationAllProducts	5	END	1597309003561	1597309014392
REQUEST	9		aggregationResult	1597309014162	1597309014366	OK	 
REQUEST	3		deleteAggregation	1597309014085	1597309014400	OK	 
USER	AggRestSimulationAllProducts	3	END	1597309003433	1597309014401
REQUEST	165		requestAggregation_all_products	1597309014234	1597309014402	OK	 
REQUEST	11		aggregationResult	1597309014243	1597309014402	OK	 
USER	AggRestSimulationAllProducts	168	START	1597309014429	1597309014429
REQUEST	8		aggregationResult	1597309014144	1597309014426	OK	 
REQUEST	14		aggregationStatus	1597309014429	1597309014454	OK	 
REQUEST	166		requestAggregation_all_products	1597309014301	1597309014454	OK	 
REQUEST	10		aggregationResult	1597309014292	1597309014463	OK	 
USER	AggRestSimulationAllProducts	169	START	1597309014491	1597309014491
REQUEST	9		deleteAggregation	1597309014393	1597309014496	OK	 
REQUEST	12		aggregationResult	1597309014332	1597309014483	OK	 
USER	AggRestSimulationAllProducts	9	END	1597309003829	1597309014497
REQUEST	11		deleteAggregation	1597309014417	1597309014535	OK	 
USER	AggRestSimulationAllProducts	11	END	1597309003963	1597309014536
REQUEST	167		requestAggregation_all_products	1597309014378	1597309014537	OK	 
REQUEST	8		deleteAggregation	1597309014443	1597309014555	OK	 
USER	AggRestSimulationAllProducts	8	END	1597309003762	1597309014556
USER	AggRestSimulationAllProducts	170	START	1597309014564	1597309014564
REQUEST	15		aggregationStatus	1597309014544	1597309014572	OK	 
REQUEST	12		deleteAggregation	1597309014497	1597309014582	OK	 
USER	AggRestSimulationAllProducts	12	END	1597309004029	1597309014583
REQUEST	10		deleteAggregation	1597309014473	1597309014611	OK	 
USER	AggRestSimulationAllProducts	10	END	1597309003901	1597309014612
REQUEST	168		requestAggregation_all_products	1597309014430	1597309014616	OK	 
REQUEST	14		aggregationResult	1597309014455	1597309014608	OK	 
USER	AggRestSimulationAllProducts	171	START	1597309014631	1597309014631
REQUEST	16		aggregationStatus	1597309014600	1597309014639	OK	 
REQUEST	169		requestAggregation_all_products	1597309014492	1597309014654	OK	 
REQUEST	17		aggregationStatus	1597309014662	1597309014689	OK	 
USER	AggRestSimulationAllProducts	172	START	1597309014692	1597309014692
REQUEST	14		deleteAggregation	1597309014629	1597309014729	OK	 
REQUEST	170		requestAggregation_all_products	1597309014564	1597309014729	OK	 
USER	AggRestSimulationAllProducts	14	END	1597309004163	1597309014730
USER	AggRestSimulationAllProducts	173	START	1597309014758	1597309014758
REQUEST	171		requestAggregation_all_products	1597309014631	1597309014764	OK	 
REQUEST	19		aggregationStatus	1597309014759	1597309014782	OK	 
REQUEST	18		aggregationStatus	1597309014759	1597309014792	OK	 
REQUEST	172		requestAggregation_all_products	1597309014693	1597309014808	OK	 
USER	AggRestSimulationAllProducts	174	START	1597309014831	1597309014831
USER	AggRestSimulationAllProducts	175	START	1597309014893	1597309014893
REQUEST	173		requestAggregation_all_products	1597309014760	1597309014906	OK	 
REQUEST	21		aggregationStatus	1597309014883	1597309014911	OK	 
REQUEST	174		requestAggregation_all_products	1597309014831	1597309014950	OK	 
USER	AggRestSimulationAllProducts	176	START	1597309014960	1597309014960
REQUEST	20		aggregationStatus	1597309014914	1597309014963	OK	 
REQUEST	19		aggregationResult	1597309014783	1597309014956	OK	 
REQUEST	18		aggregationResult	1597309014792	1597309014983	OK	 
USER	AggRestSimulationAllProducts	177	START	1597309015032	1597309015032
