RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1598540231290	 	3.3.1
REQUEST	56		requestAggregation_some_products	1598540233899	1598540234229	OK	 
USER	AggRestSimulationSomeProducts	73	START	1598540234236	1598540234236
USER	AggRestSimulationSomeProducts	74	START	1598540234262	1598540234262
REQUEST	65		requestAggregation_some_products	1598540234079	1598540234263	OK	 
USER	AggRestSimulationSomeProducts	75	START	1598540234276	1598540234276
REQUEST	63		requestAggregation_some_products	1598540234040	1598540234281	OK	 
USER	AggRestSimulationSomeProducts	76	START	1598540234297	1598540234297
REQUEST	67		requestAggregation_some_products	1598540234120	1598540234306	OK	 
USER	AggRestSimulationSomeProducts	77	START	1598540234328	1598540234328
REQUEST	69		requestAggregation_some_products	1598540234161	1598540234334	OK	 
REQUEST	58		requestAggregation_some_products	1598540233940	1598540234337	OK	 
REQUEST	71		requestAggregation_some_products	1598540234203	1598540234343	OK	 
USER	AggRestSimulationSomeProducts	78	START	1598540234349	1598540234349
REQUEST	62		requestAggregation_some_products	1598540234024	1598540234357	OK	 
REQUEST	64		requestAggregation_some_products	1598540234066	1598540234362	OK	 
USER	AggRestSimulationSomeProducts	79	START	1598540234370	1598540234370
REQUEST	60		requestAggregation_some_products	1598540233983	1598540234369	OK	 
REQUEST	66		requestAggregation_some_products	1598540234099	1598540234373	OK	 
USER	AggRestSimulationSomeProducts	80	START	1598540234390	1598540234390
USER	AggRestSimulationSomeProducts	81	START	1598540234411	1598540234411
REQUEST	73		requestAggregation_some_products	1598540234240	1598540234411	OK	 
USER	AggRestSimulationSomeProducts	82	START	1598540234431	1598540234431
USER	AggRestSimulationSomeProducts	83	START	1598540234446	1598540234446
REQUEST	75		requestAggregation_some_products	1598540234280	1598540234455	OK	 
USER	AggRestSimulationSomeProducts	84	START	1598540234467	1598540234467
REQUEST	68		requestAggregation_some_products	1598540234141	1598540234468	OK	 
REQUEST	70		requestAggregation_some_products	1598540234182	1598540234469	OK	 
USER	AggRestSimulationSomeProducts	85	START	1598540234488	1598540234488
REQUEST	74		requestAggregation_some_products	1598540234267	1598540234505	OK	 
USER	AggRestSimulationSomeProducts	86	START	1598540234508	1598540234508
REQUEST	77		requestAggregation_some_products	1598540234331	1598540234513	OK	 
USER	AggRestSimulationSomeProducts	87	START	1598540234529	1598540234529
REQUEST	79		requestAggregation_some_products	1598540234371	1598540234534	OK	 
REQUEST	72		requestAggregation_some_products	1598540234226	1598540234543	OK	 
REQUEST	81		requestAggregation_some_products	1598540234412	1598540234547	OK	 
USER	AggRestSimulationSomeProducts	88	START	1598540234549	1598540234549
USER	AggRestSimulationSomeProducts	89	START	1598540234570	1598540234570
REQUEST	83		requestAggregation_some_products	1598540234448	1598540234587	OK	 
USER	AggRestSimulationSomeProducts	90	START	1598540234591	1598540234591
USER	AggRestSimulationSomeProducts	91	START	1598540234611	1598540234611
USER	AggRestSimulationSomeProducts	92	START	1598540234626	1598540234626
USER	AggRestSimulationSomeProducts	93	START	1598540234646	1598540234646
REQUEST	85		requestAggregation_some_products	1598540234489	1598540234648	OK	 
REQUEST	80		requestAggregation_some_products	1598540234391	1598540234659	OK	 
REQUEST	76		requestAggregation_some_products	1598540234300	1598540234661	OK	 
USER	AggRestSimulationSomeProducts	94	START	1598540234666	1598540234666
REQUEST	87		requestAggregation_some_products	1598540234530	1598540234675	OK	 
REQUEST	84		requestAggregation_some_products	1598540234469	1598540234684	OK	 
USER	AggRestSimulationSomeProducts	95	START	1598540234687	1598540234687
USER	AggRestSimulationSomeProducts	96	START	1598540234708	1598540234708
REQUEST	86		requestAggregation_some_products	1598540234510	1598540234707	OK	 
REQUEST	78		requestAggregation_some_products	1598540234351	1598540234712	OK	 
REQUEST	82		requestAggregation_some_products	1598540234433	1598540234721	OK	 
REQUEST	89		requestAggregation_some_products	1598540234571	1598540234722	OK	 
USER	AggRestSimulationSomeProducts	97	START	1598540234728	1598540234728
USER	AggRestSimulationSomeProducts	98	START	1598540234749	1598540234749
USER	AggRestSimulationSomeProducts	99	START	1598540234770	1598540234770
USER	AggRestSimulationSomeProducts	100	START	1598540234790	1598540234790
REQUEST	91		requestAggregation_some_products	1598540234614	1598540234789	OK	 
REQUEST	90		requestAggregation_some_products	1598540234593	1598540234795	OK	 
REQUEST	88		requestAggregation_some_products	1598540234551	1598540234795	OK	 
USER	AggRestSimulationSomeProducts	101	START	1598540234811	1598540234811
REQUEST	93		requestAggregation_some_products	1598540234648	1598540234818	OK	 
USER	AggRestSimulationSomeProducts	102	START	1598540234831	1598540234831
USER	AggRestSimulationSomeProducts	103	START	1598540234836	1598540234836
REQUEST	92		requestAggregation_some_products	1598540234629	1598540234845	OK	 
USER	AggRestSimulationSomeProducts	104	START	1598540234857	1598540234857
REQUEST	95		requestAggregation_some_products	1598540234688	1598540234857	OK	 
USER	AggRestSimulationSomeProducts	105	START	1598540234877	1598540234877
REQUEST	97		requestAggregation_some_products	1598540234730	1598540234880	OK	 
REQUEST	94		requestAggregation_some_products	1598540234668	1598540234890	OK	 
USER	AggRestSimulationSomeProducts	106	START	1598540234898	1598540234898
USER	AggRestSimulationSomeProducts	107	START	1598540234918	1598540234918
REQUEST	99		requestAggregation_some_products	1598540234771	1598540234919	OK	 
REQUEST	98		requestAggregation_some_products	1598540234751	1598540234922	OK	 
REQUEST	101		requestAggregation_some_products	1598540234813	1598540234937	OK	 
USER	AggRestSimulationSomeProducts	108	START	1598540234939	1598540234939
REQUEST	100		requestAggregation_some_products	1598540234794	1598540234941	OK	 
REQUEST	96		requestAggregation_some_products	1598540234709	1598540234945	OK	 
REQUEST	103		requestAggregation_some_products	1598540234838	1598540234954	OK	 
USER	AggRestSimulationSomeProducts	109	START	1598540234959	1598540234959
USER	AggRestSimulationSomeProducts	110	START	1598540234980	1598540234980
USER	AggRestSimulationSomeProducts	111	START	1598540235000	1598540235000
USER	AggRestSimulationSomeProducts	112	START	1598540235021	1598540235021
USER	AggRestSimulationSomeProducts	113	START	1598540235042	1598540235042
USER	AggRestSimulationSomeProducts	114	START	1598540235062	1598540235062
USER	AggRestSimulationSomeProducts	115	START	1598540235076	1598540235076
USER	AggRestSimulationSomeProducts	116	START	1598540235097	1598540235097
REQUEST	102		requestAggregation_some_products	1598540234833	1598540235098	OK	 
USER	AggRestSimulationSomeProducts	117	START	1598540235118	1598540235118
REQUEST	106		requestAggregation_some_products	1598540234899	1598540235137	OK	 
USER	AggRestSimulationSomeProducts	118	START	1598540235138	1598540235138
REQUEST	104		requestAggregation_some_products	1598540234859	1598540235139	OK	 
USER	AggRestSimulationSomeProducts	119	START	1598540235159	1598540235159
REQUEST	105		requestAggregation_some_products	1598540234879	1598540235167	OK	 
USER	AggRestSimulationSomeProducts	120	START	1598540235179	1598540235179
REQUEST	108		requestAggregation_some_products	1598540234940	1598540235192	OK	 
USER	AggRestSimulationSomeProducts	121	START	1598540235200	1598540235200
REQUEST	109		requestAggregation_some_products	1598540234961	1598540235210	OK	 
REQUEST	107		requestAggregation_some_products	1598540234920	1598540235216	OK	 
USER	AggRestSimulationSomeProducts	122	START	1598540235221	1598540235221
REQUEST	111		requestAggregation_some_products	1598540235002	1598540235226	OK	 
USER	AggRestSimulationSomeProducts	123	START	1598540235242	1598540235242
USER	AggRestSimulationSomeProducts	124	START	1598540235257	1598540235257
REQUEST	113		requestAggregation_some_products	1598540235044	1598540235276	OK	 
USER	AggRestSimulationSomeProducts	125	START	1598540235277	1598540235277
USER	AggRestSimulationSomeProducts	126	START	1598540235298	1598540235298
REQUEST	115		requestAggregation_some_products	1598540235078	1598540235309	OK	 
USER	AggRestSimulationSomeProducts	127	START	1598540235319	1598540235319
USER	AggRestSimulationSomeProducts	128	START	1598540235339	1598540235339
REQUEST	117		requestAggregation_some_products	1598540235118	1598540235351	OK	 
USER	AggRestSimulationSomeProducts	129	START	1598540235360	1598540235360
USER	AggRestSimulationSomeProducts	130	START	1598540235380	1598540235380
REQUEST	110		requestAggregation_some_products	1598540234982	1598540235390	OK	 
USER	AggRestSimulationSomeProducts	131	START	1598540235401	1598540235401
REQUEST	119		requestAggregation_some_products	1598540235161	1598540235407	OK	 
USER	AggRestSimulationSomeProducts	132	START	1598540235421	1598540235421
REQUEST	121		requestAggregation_some_products	1598540235201	1598540235433	OK	 
USER	AggRestSimulationSomeProducts	133	START	1598540235437	1598540235437
USER	AggRestSimulationSomeProducts	134	START	1598540235457	1598540235457
REQUEST	112		requestAggregation_some_products	1598540235022	1598540235463	OK	 
USER	AggRestSimulationSomeProducts	135	START	1598540235478	1598540235478
USER	AggRestSimulationSomeProducts	136	START	1598540235498	1598540235498
REQUEST	123		requestAggregation_some_products	1598540235243	1598540235498	OK	 
REQUEST	116		requestAggregation_some_products	1598540235098	1598540235512	OK	 
USER	AggRestSimulationSomeProducts	137	START	1598540235519	1598540235519
REQUEST	125		requestAggregation_some_products	1598540235279	1598540235523	OK	 
REQUEST	114		requestAggregation_some_products	1598540235064	1598540235532	OK	 
USER	AggRestSimulationSomeProducts	138	START	1598540235540	1598540235540
USER	AggRestSimulationSomeProducts	139	START	1598540235560	1598540235560
REQUEST	118		requestAggregation_some_products	1598540235139	1598540235576	OK	 
REQUEST	127		requestAggregation_some_products	1598540235320	1598540235576	OK	 
USER	AggRestSimulationSomeProducts	140	START	1598540235581	1598540235581
USER	AggRestSimulationSomeProducts	141	START	1598540235601	1598540235601
USER	AggRestSimulationSomeProducts	142	START	1598540235621	1598540235621
REQUEST	129		requestAggregation_some_products	1598540235361	1598540235633	OK	 
REQUEST	120		requestAggregation_some_products	1598540235181	1598540235634	OK	 
USER	AggRestSimulationSomeProducts	143	START	1598540235637	1598540235637
REQUEST	122		requestAggregation_some_products	1598540235222	1598540235656	OK	 
USER	AggRestSimulationSomeProducts	144	START	1598540235657	1598540235657
USER	AggRestSimulationSomeProducts	145	START	1598540235677	1598540235677
USER	AggRestSimulationSomeProducts	146	START	1598540235698	1598540235698
USER	AggRestSimulationSomeProducts	147	START	1598540235718	1598540235718
REQUEST	131		requestAggregation_some_products	1598540235402	1598540235727	OK	 
USER	AggRestSimulationSomeProducts	148	START	1598540235739	1598540235739
REQUEST	133		requestAggregation_some_products	1598540235438	1598540235757	OK	 
USER	AggRestSimulationSomeProducts	149	START	1598540235759	1598540235759
USER	AggRestSimulationSomeProducts	150	START	1598540235780	1598540235780
USER	AggRestSimulationSomeProducts	151	START	1598540235800	1598540235800
REQUEST	126		requestAggregation_some_products	1598540235300	1598540235802	OK	 
REQUEST	124		requestAggregation_some_products	1598540235259	1598540235803	OK	 
USER	AggRestSimulationSomeProducts	152	START	1598540235821	1598540235821
USER	AggRestSimulationSomeProducts	153	START	1598540235841	1598540235841
USER	AggRestSimulationSomeProducts	154	START	1598540235857	1598540235857
REQUEST	135		requestAggregation_some_products	1598540235479	1598540235856	OK	 
USER	AggRestSimulationSomeProducts	155	START	1598540235877	1598540235877
REQUEST	130		requestAggregation_some_products	1598540235382	1598540235882	OK	 
REQUEST	128		requestAggregation_some_products	1598540235342	1598540235882	OK	 
REQUEST	132		requestAggregation_some_products	1598540235423	1598540235896	OK	 
USER	AggRestSimulationSomeProducts	156	START	1598540235898	1598540235898
USER	AggRestSimulationSomeProducts	157	START	1598540235918	1598540235918
REQUEST	137		requestAggregation_some_products	1598540235520	1598540235920	OK	 
REQUEST	134		requestAggregation_some_products	1598540235459	1598540235931	OK	 
USER	AggRestSimulationSomeProducts	158	START	1598540235939	1598540235939
USER	AggRestSimulationSomeProducts	159	START	1598540235959	1598540235959
REQUEST	141		requestAggregation_some_products	1598540235602	1598540235978	OK	 
USER	AggRestSimulationSomeProducts	160	START	1598540235980	1598540235980
REQUEST	139		requestAggregation_some_products	1598540235561	1598540235980	OK	 
REQUEST	136		requestAggregation_some_products	1598540235500	1598540235988	OK	 
REQUEST	142		requestAggregation_some_products	1598540235622	1598540235999	OK	 
REQUEST	140		requestAggregation_some_products	1598540235582	1598540235999	OK	 
USER	AggRestSimulationSomeProducts	161	START	1598540236000	1598540236000
REQUEST	138		requestAggregation_some_products	1598540235540	1598540236010	OK	 
USER	AggRestSimulationSomeProducts	162	START	1598540236021	1598540236021
REQUEST	143		requestAggregation_some_products	1598540235637	1598540236023	OK	 
USER	AggRestSimulationSomeProducts	163	START	1598540236041	1598540236041
REQUEST	144		requestAggregation_some_products	1598540235658	1598540236043	OK	 
REQUEST	146		requestAggregation_some_products	1598540235699	1598540236043	OK	 
REQUEST	147		requestAggregation_some_products	1598540235719	1598540236048	OK	 
USER	AggRestSimulationSomeProducts	164	START	1598540236056	1598540236056
